Date,Open,High,Low,Close,Adj Close,Volume,CPI,Core CPI,gdp,Unemployment_rate,m1,DFF,M2
2012-12-01,17.490442,18.159433,16.994551,17.618462,17.618462,1674071398,2.1097305,231.725,16420.386,7.9,2514.1200000000000000,0.16451612903225800000,10513.0400000000000000
2013-01-01,17.918339,18.952711,17.323069,18.821701,18.821701,2104065102,2.0682971,232.229,16420.386,8.0,2469.0000000000000000,0.14258064516129000000,10516.4250000000000000
2013-02-01,18.884216,20.148727,18.881727,19.955202,19.955202,1860563808,2.146017,232.569,16420.386,7.7,2458.9500000000000000,0.14500000000000000000,10470.2000000000000000
2013-03-01,19.870520,21.021208,19.758442,19.780607,19.780607,1708335347,2.0999025,232.794,16629.05,7.5,2461.4250000000000000,0.14354838709677400000,10595.1250000000000000
2013-04-01,19.801031,20.613735,18.960432,20.537271,20.537271,2150117073,1.9354319,232.832,16629.05,7.6,2565.3000000000000000,0.14500000000000000000,10668.2200000000000000
2013-05-01,20.504644,22.929056,20.332788,21.699165,21.699165,1984101129,1.907797,232.996,16629.05,7.5,2502.7250000000000000,0.10903225806451600000,10575.3500000000000000
2013-06-01,21.743500,22.685966,21.101406,21.927061,21.927061,1950507679,1.8766189,233.350,16699.551,7.5,2517.7000000000000000,0.09366666666666670000,10633.8250000000000000
2013-07-01,22.078493,23.113365,21.808506,22.110872,22.110872,2057503228,1.867879,233.880,16699.551,7.3,2552.2000000000000000,0.09258064516129030000,10677.5200000000000000
2013-08-01,22.291447,22.657824,21.060062,21.093437,21.093437,1344504713,1.9142202,234.336,16699.551,7.2,2524.6250000000000000,0.08290322580645160000,10731.0750000000000000
2013-09-01,21.279240,22.565170,21.269028,21.815977,21.815977,1329906200,1.8904211,234.700,16911.068,7.2,2572.9800000000000000,0.08000000000000000000,10799.4800000000000000
2013-10-01,21.924072,25.940767,20.995804,25.668289,25.668289,2217259798,1.8687356,234.921,16911.068,7.2,2600.7250000000000000,0.08709677419354840000,10932.8000000000000000
2013-11-01,25.698425,26.600296,25.031178,26.390831,26.390831,1054200647,1.8930866,235.359,16911.068,6.9,2597.7000000000000000,0.08433333333333330000,10965.7250000000000000
2013-12-01,26.488464,27.920347,26.127567,27.913124,27.913124,1358802104,1.8711904,235.759,17133.114,6.7,2717.4000000000000000,0.08516129032258060000,11089.1600000000000000
2014-01-01,27.782366,29.552729,26.955713,29.414000,29.414000,2188640930,1.8218145,235.961,17133.114,6.6,2686.0000000000000000,0.07161290322580650000,11111.0500000000000000
2014-02-01,29.369913,30.607277,28.095192,30.277761,30.277761,1627931099,1.7891863,236.185,17133.114,6.7,2712.0750000000000000,0.06642857142857140000,11137.5000000000000000
2014-03-01,30.056091,30.560204,27.570307,27.772251,27.772251,1431962004,1.8208567,236.625,17144.281,6.7,2778.9600000000000000,0.07806451612903230000,11266.0000000000000000
2014-04-01,27.859013,30.158699,25.071167,26.260900,26.260900,1347112369,2.0251612,237.072,17144.281,6.2,2798.4750000000000000,0.09033333333333330000,11337.9000000000000000
2014-05-01,26.283339,28.314262,25.096100,27.917852,27.917852,732559737,2.1282345,237.529,17144.281,6.3,2768.6500000000000000,0.08709677419354840000,11264.5750000000000000
2014-06-01,27.958241,29.042763,26.863747,28.685246,28.685246,760049001,2.1433409,237.837,17462.703,6.1,2840.0400000000000000,0.09566666666666670000,11334.3200000000000000
2014-07-01,28.836828,29.900408,28.173151,28.501747,28.501747,692217279,2.1008094,238.195,17462.703,6.2,2822.2750000000000000,0.09096774193548390000,11391.0500000000000000
2014-08-01,28.441914,29.286594,27.923336,28.501747,28.501747,553182606,1.9625042,238.405,17462.703,6.1,2785.9000000000000000,0.08806451612903230000,11419.2000000000000000
2014-09-01,28.514214,29.742342,28.332712,28.788960,28.788960,670345396,1.954047,238.786,17743.227,5.9,2843.4400000000000000,0.08833333333333330000,11458.5200000000000000
